Item,Price
VIA Instant Pumpkin Spice Latte,$7.95
Starbucks VIA® Instant Colombia Coffee,$11.45
VIA® Veranda Blend™,$11.85
Starbucks VIA® Instant Pike Place® Roast,$11.85
VIA® Colombia,$11.40
VIA® Pike Place® Roast,$11.45
VIA® Italian Roast,$11.45
VIA® Decaf Italian Roast,$13.02
VIA® French Roast,$11.45
Pike Place® Roast Verismo® Pods,$13.75
Blend® Verismo® Pods veranda,$13.75
Sumatra Verismo® Pods,$13.75
Espresso Roast Verismo® Pods,$13.75
Starbucks® Blonde Espresso Verismo® Pods,$13.75
Kenya Verismo® Pods,$13.75
Decaf Espresso Roast Verismo® Pods,$13.75
